『	記号,括弧開,*,*,*,*,『,『,『
尽くし	動詞,自立,*,*,五段・サ行,連用形,尽くす,ツクシ,ツクシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
羽左衛門	名詞,固有名詞,人名,名,*,*,羽左衛門,ウザエモン,ウザエモン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
借財	名詞,サ変接続,*,*,*,*,借財,シャクザイ,シャクザイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
多く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,多い,オオク,オーク
、	記号,読点,*,*,*,*,、,、,、
結局	名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
お鯉	名詞,固有名詞,一般,*,*,*,お鯉,オコイ,オコイ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
別	名詞,一般,*,*,*,*,別,ベツ,ベツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
※	記号,一般,*,*,*,*,※,※,※
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
離婚	名詞,サ変接続,*,*,*,*,離婚,リコン,リコン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
お鯉	名詞,固有名詞,一般,*,*,*,お鯉,オコイ,オコイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
内閣総理大臣	名詞,固有名詞,一般,*,*,*,内閣総理大臣,ナイカクソウリダイジン,ナイカクソーリダイジン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
務める	動詞,自立,*,*,一段,基本形,務める,ツトメル,ツトメル
桂太郎	名詞,固有名詞,人名,一般,*,*,桂太郎,カツラタロウ,カツラタロー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
愛妾	名詞,一般,*,*,*,*,愛妾,アイショウ,アイショー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
）	記号,括弧閉,*,*,*,*,）,）,）
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
、	記号,読点,*,*,*,*,、,、,、
澤村訥升	名詞,固有名詞,一般,*,*,*,澤村訥升,サワムラトッショウ,サワムラトッショー
（	記号,括弧開,*,*,*,*,（,（,（
7代	名詞,固有名詞,一般,*,*,*,7代,ナナダイ,ナナダイ
澤村宗十郎	名詞,固有名詞,人名,一般,*,*,澤村宗十郎,サワムラソウジュウロウ,サワムラソウジュウロー
）	記号,括弧閉,*,*,*,*,）,）,）
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ
浮名	名詞,一般,*,*,*,*,浮名,ウキナ,ウキナ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
流し	動詞,自立,*,*,五段・サ行,連用形,流す,ナガシ,ナガシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
多く	名詞,副詞可能,*,*,*,*,多く,オオク,オーク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
語ら	動詞,自立,*,*,五段・ラ行,未然形,語る,カタラ,カタラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
い	動詞,非自立,*,*,一段,未然形,いる,イ,イ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
晩年	名詞,副詞可能,*,*,*,*,晩年,バンネン,バンネン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
築地	名詞,一般,*,*,*,*,築地,ツキジ,ツキジ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
「	記号,括弧開,*,*,*,*,「,「,「
寒菊	名詞,一般,*,*,*,*,寒菊,カンギク,カンギク
」	記号,括弧閉,*,*,*,*,」,」,」
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
待合	名詞,一般,*,*,*,*,待合,マチアイ,マチアイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
営ん	動詞,自立,*,*,五段・マ行,連用タ接続,営む,イトナン,イトナン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
1915年	名詞,固有名詞,一般,*,*,*,1915年,センキュウヒャクジュウゴネン,センキュウヒャクジュウゴネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
心臓麻痺	名詞,固有名詞,一般,*,*,*,心臓麻痺,シンゾウマヒ,シンゾーマヒ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
起こし	動詞,自立,*,*,五段・サ行,連用形,起こす,オコシ,オコシ
死去	名詞,サ変接続,*,*,*,*,死去,シキョ,シキョ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
享年	名詞,一般,*,*,*,*,享年,キョウネン,キョーネン
43	名詞,数,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
一世	名詞,一般,*,*,*,*,一世,イッセイ,イッセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
風靡	名詞,サ変接続,*,*,*,*,風靡,フウビ,フービ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
明治	名詞,固有名詞,一般,*,*,*,明治,メイジ,メイジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
濡髪	名詞,一般,*,*,*,*,濡髪,ヌレガミ,ヌレガミ
美人	名詞,一般,*,*,*,*,美人,ビジン,ビジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
一生	名詞,副詞可能,*,*,*,*,一生,イッショウ,イッショー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
短く	名詞,一般,*,*,*,*,短躯,タンク,タンク
儚い	形容詞,自立,*,*,形容詞・アウオ段,基本形,儚い,ハカナイ,ハカナイ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
EOS

